country,unit,symbol,euro_equivalent,us_dollar_equivalent,phil_peso_equivalent
1 UNITED STATES,DOLLAR,USD,0.924642,1.000000,55.7970
2 JAPAN,YEN,JPY,0.006673,0.007217,0.4027
3 UNITED KINGDOM,POUND,GBP,1.149977,1.243700,69.3947
4 HONGKONG,DOLLAR,HKD,0.118120,0.127747,7.1279
5 SWITZERLAND,FRANC,CHF,1.030241,1.114206,62.1694
6 CANADA,DOLLAR,CAD,0.684971,0.740796,41.3342
7 SINGAPORE,DOLLAR,SGD,0.687006,0.742997,41.4570
8 AUSTRALIA,DOLLAR,AUD,0.614794,0.664900,37.0994
9 BAHRAIN,DINAR*,BHD,2.452826,2.652731,148.0144
10 KUWAIT,DINAR,KWD,N/A,N/A,N/A
11 SAUDI ARABIA,RIYAL,SAR,0.246578,0.266674,14.8796
12 BRUNEI,DOLLAR,BND,0.684463,0.740247,41.3036
13 INDONESIA,RUPIAH,IDR,0.000062,0.000067,0.0037
14 THAILAND,BAHT****,THB,0.026855,0.029044,1.6206
15 UNITED ARAB EMIRATES,DIRHAM,AED,0.251829,0.272353,15.1965
16 EUROPEAN MONETARY UNION,EURO,EUR,1.000000,1.081500,60.3445
17 KOREA,WON,KRW,0.000705,0.000762,0.0425
18 CHINA,YUAN**,CNY,0.131513,0.142231,7.9361
